,address,Lat_,long_
277,"1430-1920 W Lake Sammamish Pkwy SE, Bellevue, WA 98008",,
278,"16674 SE 17th St, Bellevue, WA 98008",47.5957986,-122.1201735
279,"305 158th Pl SE, Bellevue, WA 98008",47.6002389,-122.1280194
280,"17002 SE 14th Ln, Bellevue, WA 98008",47.5972111,-122.1115581
281,"16940 NE 16th Pl, Bellevue, WA 98008",47.6246019,-122.1274613
282,"16451 NE 18th St, Bellevue, WA 98008",47.6262969,-122.1193272
283,"16204 SE 2nd St, Bellevue, WA 98008",47.6073518,-122.1238009
284,"16720 NE 23rd Pl, Bellevue, WA 98008",47.63084,-122.1183183
285,"645 West Lake Sammamish Pkwy NE, Bellevue, WA 98008",47.6166426,-122.100452
286,"510 175th Pl NE, Bellevue, WA 98008",47.6154963,-122.1067368
287,"1039 165th Pl NE, Bellevue, WA 98008",47.6193641,-122.1195296
288,"9105 170th Ave NE, Redmond, WA 98052",47.6830431,-122.11395660435556
289,"2616 174th Ave NE, Redmond, WA 98052",47.6360525,-122.1067726
290,"15712 NE 136th Pl, Redmond, WA 98052",,
291,"10204 168th Pl NE, Redmond, WA 98052",47.691298450000005,-122.1151960256166
292,"18427 NE 26th Way, Redmond, WA 98052",47.6333892,-122.0939878
293,"12001 173rd Pl NE, Redmond, WA 98052",47.6860628,-122.1095367
294,"17122 NE 117th St, Redmond, WA 98052",47.7044366,-122.1253151
295,"18114 NE 136th St, Redmond, WA 98052",,
296,"17649 NE 129th Pl, Redmond, WA 98052",,
297,"16775 NE 86th Ct, Redmond, WA 98052",47.6787995,-122.11691364999999
298,"5003 159th Ct NE, Redmond, WA 98052",47.7088422,-122.1258533
299,"5524 161st Pl NE, Redmond, WA 98052",47.6907674,-122.125497
300,"17128 NE 92nd St, Redmond, WA 98052",47.6843551,-122.11106669994001
301,"15917 NE 109th Way, Redmond, WA 98052",47.6980765,-122.126333
302,"9828 159th Pl NE, Redmond, WA 98052",47.6887926,-122.12813509827029
303,"11461-11577 172nd Ave NE, Redmond, WA 98052",,
304,"8107 165th Ave NE, Redmond, WA 98052",47.6507668,-122.1211354
305,"10774 155th Pl NE, Redmond, WA 98052",47.6887826,-122.1323453
306,"8082-8160 142nd Ave NE, Redmond, WA 98052",,
307,"7408 138th Pl NE, Redmond, WA 98052",47.6727754,-122.1550277
308,"2830 177th Ave NE, Redmond, WA 98052",47.6827487,-122.1036801
309,"6133 147th Pl NE, Redmond, WA 98052",47.6617788,-122.1444929
310,"15924 NE 53rd St, Redmond, WA 98052",47.6555391,-122.1285591
311,"5419 156th Ave NE, Redmond, WA 98052",47.6404568,-122.1322618
312,"17013 NE 133rd St, Redmond, WA 98052",,
313,"19107 NE 64th Way, Redmond, WA 98052",47.663464,-122.08303823210133
314,"11931 179th Pl NE, Redmond, WA 98052",47.6841318,-122.1013624
315,"14117 175th Ave NE, Redmond, WA 98052",47.6809439,-122.1068701
316,"6305 150th Ave NE, Redmond, WA 98052",47.64697,-122.1403328
317,"10510 160th Ave NE, Redmond, WA 98052",47.6743621,-122.126928
318,"10805 177th Ct NE, Redmond, WA 98052",47.6956282,-122.1041213
319,"13615 179th Ave NE, Redmond, WA 98052",47.6952976,-122.1045234
320,"16822 NE 87th St, Redmond, WA 98052",47.680088600000005,-122.11519719632597
321,"2019 182nd Ave NE, Redmond, WA 98052",47.6834156,-122.0970513
322,"13424 NE 80th St, Redmond, WA 98052",47.6753355,-122.1575014
323,"10830 132nd Ave NE, Redmond, WA 98052",47.681627,-122.1639044
324,"17323 NE 24th St, Redmond, WA 98052",47.6312363,-122.1098547
325,"6619 147th Ct NE, Redmond, WA 98052",47.666224799999995,-122.14412708669146
326,"15243 NE 71st Ct, Redmond, WA 98052",47.6682857,-122.1370250776758
327,"18504 NE 21st St, Redmond, WA 98052",47.6291151,-122.136312
328,"17301 NE 131st St, Redmond, WA 98052",,
329,"10526 157th Ave NE, Redmond, WA 98052",47.7076717,-122.1308009063566
330,"14222 NE 80th Pl, Redmond, WA 98052",47.6755328,-122.1448654
331,"14500-14526 NE 61st St, Redmond, WA 98052",,
332,"6605-6609 141st Pl NE, Redmond, WA 98052",47.6683479,-122.1506038
333,"15017-15023 NE 144th St, Redmond, WA 98052",47.7312987,-122.1391218
334,"5022 Private Rd, Redmond, WA 98052",47.6711674,-122.1339367
335,"15918 NE 113th Ct, Redmond, WA 98052",47.701712,-122.1295357
336,"14009 NE 85th Ct, Redmond, WA 98052",47.67887495,-122.15233404749016
337,"6056 156th Ave NE, Redmond, WA 98052",47.6404568,-122.1322618
338,"11814 167th Pl NE, Redmond, WA 98052",47.6446168,-122.1171381
339,"Valley View Trail, Redmond, WA 98052",,
340,"14151 174th Pl NE, Redmond, WA 98052",47.6868024,-122.1079917
341,"10090 177th Ave NE, Redmond, WA 98052",47.6910027,-122.10397823041524
342,"10629 161st Avenue Northeast, Redmond, WA 98052",47.6866258,-122.1251566
343,"8520 169th Ct NE, Redmond, WA 98052",47.67894665,-122.1159852
344,"15703 NE 113th Ct, Redmond, WA 98052",47.701712,-122.1295357
345,"11511 159th Ave NE, Redmond, WA 98052",47.70360145,-122.12720681053145
346,"2317-2399 185th Pl NE, Redmond, WA 98052",,
347,"18119 NE 30th St, Redmond, WA 98052",47.6368394,-122.1167507
348,"10916 159th Ave NE, Redmond, WA 98052",47.646901,-122.1278216
349,"17801 NE 102nd Ct, Redmond, WA 98052",47.6914426,-122.10284480281928
350,"7874 148th Ct NE, Redmond, WA 98052",47.6742689,-122.1426802
351,"3005 177th Ave NE, Redmond, WA 98052",47.6827487,-122.1036801
352,"6935 142nd Ct NE, Redmond, WA 98052",47.66094715,-122.1499421983244
353,"2244 West Lake Sammamish Pkwy NE, Redmond, WA 98052",47.6687101,-122.1281254
354,"16314 NE 46th St, Redmond, WA 98052",47.6508045,-122.1187678
355,"8605 169th Ct NE, Redmond, WA 98052",47.6834038,-122.1147489
356,"15550 NE 60th St, Redmond, WA 98052",47.6606217,-122.1336178
357,"15736 NE 134th St, Redmond, WA 98052",,
358,"6466 195th Pl NE, Redmond, WA 98052",47.6654752,-122.0802252
359,"17129 NE 95th St, Redmond, WA 98052",47.6854193,-122.11104234673694
360,"16416 NE 40th St, Redmond, WA 98052",47.6459663,-122.1357983
361,"17422 NE 28th St, Redmond, WA 98052",47.6359538,-122.1276667
362,"6533 193rd Pl NE, Redmond, WA 98052",47.6649162,-122.08214910000001
363,"16618 NE 91st St, Redmond, WA 98052",47.68327815,-122.1181648
364,"10342 162nd Pl NE, Redmond, WA 98052",47.69274985,-122.12402787615588
365,"16326 NE 43rd Ct, Redmond, WA 98052",47.6483019,-122.11950410238907
